단지명,거래구분,전용면적(㎡),시군구,번지,계약년월,건축년도,평균 거래금액(만원)
관악청광플러스원,매매,59,서울특별시 관악구 봉천동,1726,202505,2009,66500
관악캠퍼스타워,매매,40,서울특별시 관악구 봉천동,875-1,202505,1998,28000
관악파크푸르지오,매매,59,서울특별시 관악구 봉천동,1728,202505,2014,80000
관악푸르지오,매매,59,서울특별시 관악구 봉천동,1717,202505,2004,82136
관악푸르지오,매매,84,서울특별시 관악구 봉천동,1717,202505,2004,99217
관음삼성,매매,84,서울특별시 강서구 염창동,268,202505,1997,93875
광나루현대,매매,84,서울특별시 광진구 광장동,567,202505,1996,127250
광남벨라스(1차),매매,129,서울특별시 마포구 서교동,465-1,202505,2004,111000
광남벨라스2차아파트,매매,84,서울특별시 강동구 천호동,53-6,202505,2004,61100
광남캐스빌,매매,52,서울특별시 성북구 보문동2가,6-5,202505,2001,30000
